"","X","id","submitter","authors","title","comments","journal.ref","doi","report.no","categories","license","abstract","versions","update_date","authors_parsed","v1_date"
"35",35,"0704.0779","Markos Georganopoulos","Demosthenes
  Kazanas","High Energy Variability Of Synchrotron-Self Compton Emitting Sources:
  Why One Zone Models Do Not Work And How We Can Fix It","to appear in the 1st GLAST symposium proceedings","AIP Conf.Proc.921:333-334,2007","10.1063/1.2757338","","astro-ph","","  With the anticipated launch of GLAST, the existing X-ray telescopes, and the
enhanced capabilities of the new generation of TeV telescopes, developing tools
for modeling the variability of high energy sources such as blazars is becoming
a high priority. We point out the serious, innate problems one zone
synchrotron-self Compton models have in simulating high energy variability. We
then present the first steps toward a multi zone model where non-local, time
delayed Synchrotron-self Compton electron energy losses are taken into account.
By introducing only one additional parameter, the length of the system, our
code can simulate variability properly at Compton dominated stages, a situation
typical of flaring systems. As a first application, we were able to reproduce
variability similar to that observed in the case of the puzzling `orphan' TeV
flares that are not accompanied by a corresponding X-ray flare.
","[{'version': 'v1', 'created': 'Thu, 5 Apr 2007 18:59:41 GMT'}]","2009-06-23","[['Graff', 'Philip B.', ''], ['Georganopoulos', 'Markos', ''], ['Perlman', 'Eric S.', ''], ['Kazanas', 'Demosthenes', '']]","2007-04-05"
"36",36,"0704.0835","Teddy Cheung","C.C. Cheung","Compton X-ray and Gamma-ray Emission from Extended Radio Galaxies","3 pages, one 3 panel figure. Proceedings of the First GLAST
  Symposium. (The actual submitted version is 2 pages with references used more
  sparingly.)","AIP Conf.Proc.921:325-326,2007","10.1063/1.2757334","","astro-ph","","  The extended lobes of radio galaxies are examined as sources of X-ray and
gamma-ray emission via inverse Compton scattering of 3K background photons. The
Compton spectra of two exemplary examples, Fornax A and Centaurus A, are
estimated using available radio measurements in the ~10's MHz - 10's GHz range.
For average lobe magnetic fields of >~0.3-1 micro-G, the lobe spectra are
predicted to extend into the soft gamma-rays making them likely detectable with
the GLAST LAT. If detected, their large angular extents (~1 deg and 8 deg) will
make it possible to ``image'' the radio lobes in gamma-rays. Similarly, this
process operates in more distant radio galaxies and the possibility that such
systems will be detected as unresolved gamma-ray sources with GLAST is briefly
considered.
","[{'version': 'v1', 'created': 'Fri, 6 Apr 2007 02:42:24 GMT'}]","2009-06-23","[['Cheung', 'C. C.', '']]","2007-04-06"
"37",37,"0704.0877","Filippo Mannucci","F. Mannucci","The bimodality of type Ia Supernovae","5 pages, to appear in the AIP conference proceedings of ""Supernova
  1987A: 20 Years after Supernovae and Gamma-Ray Bursters"", Feb 19-23, 2007,
  Aspen, CO. Replaced figure 1","AIP Conf.Proc.937:293-297,2007","10.1063/1.2803580","","astro-ph","","  We comment on the presence of a bimodality in the distribution of delay time
between the formation of the progenitors and their explosion as type Ia SNe.
Two ""flavors"" of such bimodality are present in the literature: a ""weak""
bimodality, in which type Ia SNe must explode from both young and old
progenitors, and a ""strong"" bimodality, in which about half of the systems
explode within 10^8 years from formation. The ""weak"" bimodality is
observationally based on the dependence of the rates with the host galaxy SFR,
while the ""strong"" one on the different rates in radio-loud and radio-quiet
early-type galaxies. We review the evidence for these bimodalities. Finally, we
estimate the fraction of SNe which are missed by optical and near-IR searches
because of dust extinction in massive starbursts.
","[{'version': 'v1', 'created': 'Fri, 6 Apr 2007 11:28:09 GMT'}, {'version': 'v2', 'created': 'Wed, 4 Jul 2007 13:11:02 GMT'}]","2009-09-29","[['Mannucci', 'F.', ''], ['Panagia', 'N.', ''], ['Della Valle', 'M.', '']]","2007-04-06"
"38",38,"0704.0877","Filippo Mannucci","N. Panagia","The bimodality of type Ia Supernovae","5 pages, to appear in the AIP conference proceedings of ""Supernova
  1987A: 20 Years after Supernovae and Gamma-Ray Bursters"", Feb 19-23, 2007,
  Aspen, CO. Replaced figure 1","AIP Conf.Proc.937:293-297,2007","10.1063/1.2803580","","astro-ph","","  We comment on the presence of a bimodality in the distribution of delay time
between the formation of the progenitors and their explosion as type Ia SNe.
Two ""flavors"" of such bimodality are present in the literature: a ""weak""
bimodality, in which type Ia SNe must explode from both young and old
progenitors, and a ""strong"" bimodality, in which about half of the systems
explode within 10^8 years from formation. The ""weak"" bimodality is
observationally based on the dependence of the rates with the host galaxy SFR,
while the ""strong"" one on the different rates in radio-loud and radio-quiet
early-type galaxies. We review the evidence for these bimodalities. Finally, we
estimate the fraction of SNe which are missed by optical and near-IR searches
because of dust extinction in massive starbursts.
","[{'version': 'v1', 'created': 'Fri, 6 Apr 2007 11:28:09 GMT'}, {'version': 'v2', 'created': 'Wed, 4 Jul 2007 13:11:02 GMT'}]","2009-09-29","[['Mannucci', 'F.', ''], ['Panagia', 'N.', ''], ['Della Valle', 'M.', '']]","2007-04-06"
"39",39,"0704.0877","Filippo Mannucci","M. Della Valle","The bimodality of type Ia Supernovae","5 pages, to appear in the AIP conference proceedings of ""Supernova
  1987A: 20 Years after Supernovae and Gamma-Ray Bursters"", Feb 19-23, 2007,
  Aspen, CO. Replaced figure 1","AIP Conf.Proc.937:293-297,2007","10.1063/1.2803580","","astro-ph","","  We comment on the presence of a bimodality in the distribution of delay time
between the formation of the progenitors and their explosion as type Ia SNe.
Two ""flavors"" of such bimodality are present in the literature: a ""weak""
bimodality, in which type Ia SNe must explode from both young and old
progenitors, and a ""strong"" bimodality, in which about half of the systems
explode within 10^8 years from formation. The ""weak"" bimodality is
observationally based on the dependence of the rates with the host galaxy SFR,
while the ""strong"" one on the different rates in radio-loud and radio-quiet
early-type galaxies. We review the evidence for these bimodalities. Finally, we
estimate the fraction of SNe which are missed by optical and near-IR searches
because of dust extinction in massive starbursts.
","[{'version': 'v1', 'created': 'Fri, 6 Apr 2007 11:28:09 GMT'}, {'version': 'v2', 'created': 'Wed, 4 Jul 2007 13:11:02 GMT'}]","2009-09-29","[['Mannucci', 'F.', ''], ['Panagia', 'N.', ''], ['Della Valle', 'M.', '']]","2007-04-06"
"40",40,"0704.0890","Salvatore Orlando","S. Orlando","On the Origin of Asymmetries in Bilateral Supernova Remnants","14 pages, 8 Figures; paper accepted for publication in A&A; the paper
  with high-resolution figures can be downloaded at
  http://www.astropa.unipa.it/~orlando/PAPERS/sorlando_6045.pdf","","10.1051/0004-6361:20066045","","astro-ph","","  AIMS: We investigate whether the morphology of bilateral supernova remnants
(BSNRs) observed in the radio band is determined mainly either by a non-uniform
interstellar medium (ISM) or by a non-uniform ambient magnetic field.
  METHODS: We perform 3-D MHD simulations of a spherical SNR shock propagating
through a magnetized ISM. Two cases of shock propagation are considered: 1)
through a gradient of ambient density with a uniform ambient magnetic field; 2)
through a homogeneous medium with a gradient of ambient magnetic field
strength. From the simulations, we synthesize the synchrotron radio emission,
making different assumptions about the details of acceleration and injection of
relativistic electrons.
  RESULTS: We find that asymmetric BSNRs are produced if the line-of-sight is
not aligned with the gradient of ambient plasma density or with the gradient of
ambient magnetic field strength. We derive useful parameters to quantify the
degree of asymmetry of the remnants that may provide a powerful diagnostic of
the microphysics of strong shock waves through the comparison between models
and observations.
  CONCLUSIONS: BSNRs with two radio limbs of different brightness can be
explained if a gradient of ambient density or, most likely, of ambient magnetic
field strength is perpendicular to the radio limbs. BSNRs with converging
similar radio arcs can be explained if the gradient runs between the two arcs.
","[{'version': 'v1', 'created': 'Fri, 6 Apr 2007 14:13:38 GMT'}]","2009-11-13","[['Orlando', 'S.', ''], ['Bocchino', 'F.', ''], ['Reale', 'F.', ''], ['Peres', 'G.', ''], ['Petruk', 'O.', '']]","2007-04-06"
"41",41,"0704.0890","Salvatore Orlando","F. Bocchino","On the Origin of Asymmetries in Bilateral Supernova Remnants","14 pages, 8 Figures; paper accepted for publication in A&A; the paper
  with high-resolution figures can be downloaded at
  http://www.astropa.unipa.it/~orlando/PAPERS/sorlando_6045.pdf","","10.1051/0004-6361:20066045","","astro-ph","","  AIMS: We investigate whether the morphology of bilateral supernova remnants
(BSNRs) observed in the radio band is determined mainly either by a non-uniform
interstellar medium (ISM) or by a non-uniform ambient magnetic field.
  METHODS: We perform 3-D MHD simulations of a spherical SNR shock propagating
through a magnetized ISM. Two cases of shock propagation are considered: 1)
through a gradient of ambient density with a uniform ambient magnetic field; 2)
through a homogeneous medium with a gradient of ambient magnetic field
strength. From the simulations, we synthesize the synchrotron radio emission,
making different assumptions about the details of acceleration and injection of
relativistic electrons.
  RESULTS: We find that asymmetric BSNRs are produced if the line-of-sight is
not aligned with the gradient of ambient plasma density or with the gradient of
ambient magnetic field strength. We derive useful parameters to quantify the
degree of asymmetry of the remnants that may provide a powerful diagnostic of
the microphysics of strong shock waves through the comparison between models
and observations.
  CONCLUSIONS: BSNRs with two radio limbs of different brightness can be
explained if a gradient of ambient density or, most likely, of ambient magnetic
field strength is perpendicular to the radio limbs. BSNRs with converging
similar radio arcs can be explained if the gradient runs between the two arcs.
","[{'version': 'v1', 'created': 'Fri, 6 Apr 2007 14:13:38 GMT'}]","2009-11-13","[['Orlando', 'S.', ''], ['Bocchino', 'F.', ''], ['Reale', 'F.', ''], ['Peres', 'G.', ''], ['Petruk', 'O.', '']]","2007-04-06"
"42",42,"0704.0890","Salvatore Orlando","F. Reale","On the Origin of Asymmetries in Bilateral Supernova Remnants","14 pages, 8 Figures; paper accepted for publication in A&A; the paper
  with high-resolution figures can be downloaded at
  http://www.astropa.unipa.it/~orlando/PAPERS/sorlando_6045.pdf","","10.1051/0004-6361:20066045","","astro-ph","","  AIMS: We investigate whether the morphology of bilateral supernova remnants
(BSNRs) observed in the radio band is determined mainly either by a non-uniform
interstellar medium (ISM) or by a non-uniform ambient magnetic field.
  METHODS: We perform 3-D MHD simulations of a spherical SNR shock propagating
through a magnetized ISM. Two cases of shock propagation are considered: 1)
through a gradient of ambient density with a uniform ambient magnetic field; 2)
through a homogeneous medium with a gradient of ambient magnetic field
strength. From the simulations, we synthesize the synchrotron radio emission,
making different assumptions about the details of acceleration and injection of
relativistic electrons.
  RESULTS: We find that asymmetric BSNRs are produced if the line-of-sight is
not aligned with the gradient of ambient plasma density or with the gradient of
ambient magnetic field strength. We derive useful parameters to quantify the
degree of asymmetry of the remnants that may provide a powerful diagnostic of
the microphysics of strong shock waves through the comparison between models
and observations.
  CONCLUSIONS: BSNRs with two radio limbs of different brightness can be
explained if a gradient of ambient density or, most likely, of ambient magnetic
field strength is perpendicular to the radio limbs. BSNRs with converging
similar radio arcs can be explained if the gradient runs between the two arcs.
","[{'version': 'v1', 'created': 'Fri, 6 Apr 2007 14:13:38 GMT'}]","2009-11-13","[['Orlando', 'S.', ''], ['Bocchino', 'F.', ''], ['Reale', 'F.', ''], ['Peres', 'G.', ''], ['Petruk', 'O.', '']]","2007-04-06"
"43",43,"0704.0890","Salvatore Orlando","G. Peres","On the Origin of Asymmetries in Bilateral Supernova Remnants","14 pages, 8 Figures; paper accepted for publication in A&A; the paper
  with high-resolution figures can be downloaded at
  http://www.astropa.unipa.it/~orlando/PAPERS/sorlando_6045.pdf","","10.1051/0004-6361:20066045","","astro-ph","","  AIMS: We investigate whether the morphology of bilateral supernova remnants
(BSNRs) observed in the radio band is determined mainly either by a non-uniform
interstellar medium (ISM) or by a non-uniform ambient magnetic field.
  METHODS: We perform 3-D MHD simulations of a spherical SNR shock propagating
through a magnetized ISM. Two cases of shock propagation are considered: 1)
through a gradient of ambient density with a uniform ambient magnetic field; 2)
through a homogeneous medium with a gradient of ambient magnetic field
strength. From the simulations, we synthesize the synchrotron radio emission,
making different assumptions about the details of acceleration and injection of
relativistic electrons.
  RESULTS: We find that asymmetric BSNRs are produced if the line-of-sight is
not aligned with the gradient of ambient plasma density or with the gradient of
ambient magnetic field strength. We derive useful parameters to quantify the
degree of asymmetry of the remnants that may provide a powerful diagnostic of
the microphysics of strong shock waves through the comparison between models
and observations.
  CONCLUSIONS: BSNRs with two radio limbs of different brightness can be
explained if a gradient of ambient density or, most likely, of ambient magnetic
field strength is perpendicular to the radio limbs. BSNRs with converging
similar radio arcs can be explained if the gradient runs between the two arcs.
","[{'version': 'v1', 'created': 'Fri, 6 Apr 2007 14:13:38 GMT'}]","2009-11-13","[['Orlando', 'S.', ''], ['Bocchino', 'F.', ''], ['Reale', 'F.', ''], ['Peres', 'G.', ''], ['Petruk', 'O.', '']]","2007-04-06"
"44",44,"0704.0890","Salvatore Orlando","O. Petruk","On the Origin of Asymmetries in Bilateral Supernova Remnants","14 pages, 8 Figures; paper accepted for publication in A&A; the paper
  with high-resolution figures can be downloaded at
  http://www.astropa.unipa.it/~orlando/PAPERS/sorlando_6045.pdf","","10.1051/0004-6361:20066045","","astro-ph","","  AIMS: We investigate whether the morphology of bilateral supernova remnants
(BSNRs) observed in the radio band is determined mainly either by a non-uniform
interstellar medium (ISM) or by a non-uniform ambient magnetic field.
  METHODS: We perform 3-D MHD simulations of a spherical SNR shock propagating
through a magnetized ISM. Two cases of shock propagation are considered: 1)
through a gradient of ambient density with a uniform ambient magnetic field; 2)
through a homogeneous medium with a gradient of ambient magnetic field
strength. From the simulations, we synthesize the synchrotron radio emission,
making different assumptions about the details of acceleration and injection of
relativistic electrons.
  RESULTS: We find that asymmetric BSNRs are produced if the line-of-sight is
not aligned with the gradient of ambient plasma density or with the gradient of
ambient magnetic field strength. We derive useful parameters to quantify the
degree of asymmetry of the remnants that may provide a powerful diagnostic of
the microphysics of strong shock waves through the comparison between models
and observations.
  CONCLUSIONS: BSNRs with two radio limbs of different brightness can be
explained if a gradient of ambient density or, most likely, of ambient magnetic
field strength is perpendicular to the radio limbs. BSNRs with converging
similar radio arcs can be explained if the gradient runs between the two arcs.
","[{'version': 'v1', 'created': 'Fri, 6 Apr 2007 14:13:38 GMT'}]","2009-11-13","[['Orlando', 'S.', ''], ['Bocchino', 'F.', ''], ['Reale', 'F.', ''], ['Peres', 'G.', ''], ['Petruk', 'O.', '']]","2007-04-06"
"45",45,"0704.0904","Robin Corbet","Robin Corbet","The Use of Weighting in Periodicity Searches in All-Sky Monitor Data:
  Applications to the GLAST LAT","2 pages. To appear in the Proceedings of the First International
  GLAST Symposium, Febuary 5-8, 2007, Stanford University, AIP, Eds. S. Ritz,
  P. F. Michelson, and C. Meegan","AIP Conf.Proc.921:548-549,2007","10.1063/1.2757445","","astro-ph","","  The light curves produced by all-sky monitors, such as the Rossi X-ray Timing
Explorer All-Sky Monitor and the Swift Burst Alert Telescope (BAT), generally
have non-uniform error bars. In searching for periodic modulation in this type
of data using power spectra it can be important to use appropriate weighting of
data points to achieve the best sensitivity. It was recently demonstrated that
for Swift BAT data a simple weighting scheme can actually sometimes reduce the
sensitivity of the power spectrum depending on source brightness. Instead, a
modified weighting scheme, based on the Cochran semi-weighted mean, gives
improved results independent of source brightness. We investigate the benefits
of weighting power spectra in period searches using simulated GLAST LAT
observations of gamma-ray binaries.
","[{'version': 'v1', 'created': 'Fri, 6 Apr 2007 16:49:01 GMT'}]","2009-06-23","[['Corbet', 'Robin', ''], ['Dubois', 'Richard', '']]","2007-04-06"
"46",46,"0704.0904","Robin Corbet","Richard Dubois","The Use of Weighting in Periodicity Searches in All-Sky Monitor Data:
  Applications to the GLAST LAT","2 pages. To appear in the Proceedings of the First International
  GLAST Symposium, Febuary 5-8, 2007, Stanford University, AIP, Eds. S. Ritz,
  P. F. Michelson, and C. Meegan","AIP Conf.Proc.921:548-549,2007","10.1063/1.2757445","","astro-ph","","  The light curves produced by all-sky monitors, such as the Rossi X-ray Timing
Explorer All-Sky Monitor and the Swift Burst Alert Telescope (BAT), generally
have non-uniform error bars. In searching for periodic modulation in this type
of data using power spectra it can be important to use appropriate weighting of
data points to achieve the best sensitivity. It was recently demonstrated that
for Swift BAT data a simple weighting scheme can actually sometimes reduce the
sensitivity of the power spectrum depending on source brightness. Instead, a
modified weighting scheme, based on the Cochran semi-weighted mean, gives
improved results independent of source brightness. We investigate the benefits
of weighting power spectra in period searches using simulated GLAST LAT
observations of gamma-ray binaries.
","[{'version': 'v1', 'created': 'Fri, 6 Apr 2007 16:49:01 GMT'}]","2009-06-23","[['Corbet', 'Robin', ''], ['Dubois', 'Richard', '']]","2007-04-06"
"47",47,"0704.0944","Michael Kuhlen","Michael Kuhlen (1)","GLAST and Dark Matter Substructure in the Milky Way","4 pages, 2 figures, to be published in ""The Proceedings of the First
  International GLAST Symposium"", February 5-8, 2007, Stanford University, AIP,
  Eds. S. Ritz, P.F. Michelson, and C. Meegan","AIP Conf.Proc.921:135-138,2007","10.1063/1.2757285","","astro-ph","","  We discuss the possibility of GLAST detecting gamma-rays from the
annihilation of neutralino dark matter in the Galactic halo. We have used ""Via
Lactea"", currently the highest resolution simulation of Galactic cold dark
matter substructure, to quantify the contribution of subhalos to the
annihilation signal. We present a simulated allsky map of the expected
gamma-ray counts from dark matter annihilation, assuming standard values of
particle mass and cross section. In this case GLAST should be able to detect
the Galactic center and several individual subhalos.
","[{'version': 'v1', 'created': 'Sat, 7 Apr 2007 00:06:58 GMT'}]","2009-06-23","[['Kuhlen', 'Michael', ''], ['Diemand', 'Jürg', ''], ['Madau', 'Piero', '']]","2007-04-07"
"48",48,"0704.0944","Michael Kuhlen","J\""urg Diemand (2) and Piero Madau (2","GLAST and Dark Matter Substructure in the Milky Way","4 pages, 2 figures, to be published in ""The Proceedings of the First
  International GLAST Symposium"", February 5-8, 2007, Stanford University, AIP,
  Eds. S. Ritz, P.F. Michelson, and C. Meegan","AIP Conf.Proc.921:135-138,2007","10.1063/1.2757285","","astro-ph","","  We discuss the possibility of GLAST detecting gamma-rays from the
annihilation of neutralino dark matter in the Galactic halo. We have used ""Via
Lactea"", currently the highest resolution simulation of Galactic cold dark
matter substructure, to quantify the contribution of subhalos to the
annihilation signal. We present a simulated allsky map of the expected
gamma-ray counts from dark matter annihilation, assuming standard values of
particle mass and cross section. In this case GLAST should be able to detect
the Galactic center and several individual subhalos.
","[{'version': 'v1', 'created': 'Sat, 7 Apr 2007 00:06:58 GMT'}]","2009-06-23","[['Kuhlen', 'Michael', ''], ['Diemand', 'Jürg', ''], ['Madau', 'Piero', '']]","2007-04-07"
"49",49,"0704.0944","Michael Kuhlen","3) ((1)
  Institute for Advanced Study","GLAST and Dark Matter Substructure in the Milky Way","4 pages, 2 figures, to be published in ""The Proceedings of the First
  International GLAST Symposium"", February 5-8, 2007, Stanford University, AIP,
  Eds. S. Ritz, P.F. Michelson, and C. Meegan","AIP Conf.Proc.921:135-138,2007","10.1063/1.2757285","","astro-ph","","  We discuss the possibility of GLAST detecting gamma-rays from the
annihilation of neutralino dark matter in the Galactic halo. We have used ""Via
Lactea"", currently the highest resolution simulation of Galactic cold dark
matter substructure, to quantify the contribution of subhalos to the
annihilation signal. We present a simulated allsky map of the expected
gamma-ray counts from dark matter annihilation, assuming standard values of
particle mass and cross section. In this case GLAST should be able to detect
the Galactic center and several individual subhalos.
","[{'version': 'v1', 'created': 'Sat, 7 Apr 2007 00:06:58 GMT'}]","2009-06-23","[['Kuhlen', 'Michael', ''], ['Diemand', 'Jürg', ''], ['Madau', 'Piero', '']]","2007-04-07"
"50",50,"0704.0944","Michael Kuhlen","Princeton","GLAST and Dark Matter Substructure in the Milky Way","4 pages, 2 figures, to be published in ""The Proceedings of the First
  International GLAST Symposium"", February 5-8, 2007, Stanford University, AIP,
  Eds. S. Ritz, P.F. Michelson, and C. Meegan","AIP Conf.Proc.921:135-138,2007","10.1063/1.2757285","","astro-ph","","  We discuss the possibility of GLAST detecting gamma-rays from the
annihilation of neutralino dark matter in the Galactic halo. We have used ""Via
Lactea"", currently the highest resolution simulation of Galactic cold dark
matter substructure, to quantify the contribution of subhalos to the
annihilation signal. We present a simulated allsky map of the expected
gamma-ray counts from dark matter annihilation, assuming standard values of
particle mass and cross section. In this case GLAST should be able to detect
the Galactic center and several individual subhalos.
","[{'version': 'v1', 'created': 'Sat, 7 Apr 2007 00:06:58 GMT'}]","2009-06-23","[['Kuhlen', 'Michael', ''], ['Diemand', 'Jürg', ''], ['Madau', 'Piero', '']]","2007-04-07"
"51",51,"0704.0944","Michael Kuhlen","(2) UC Santa Cruz","GLAST and Dark Matter Substructure in the Milky Way","4 pages, 2 figures, to be published in ""The Proceedings of the First
  International GLAST Symposium"", February 5-8, 2007, Stanford University, AIP,
  Eds. S. Ritz, P.F. Michelson, and C. Meegan","AIP Conf.Proc.921:135-138,2007","10.1063/1.2757285","","astro-ph","","  We discuss the possibility of GLAST detecting gamma-rays from the
annihilation of neutralino dark matter in the Galactic halo. We have used ""Via
Lactea"", currently the highest resolution simulation of Galactic cold dark
matter substructure, to quantify the contribution of subhalos to the
annihilation signal. We present a simulated allsky map of the expected
gamma-ray counts from dark matter annihilation, assuming standard values of
particle mass and cross section. In this case GLAST should be able to detect
the Galactic center and several individual subhalos.
","[{'version': 'v1', 'created': 'Sat, 7 Apr 2007 00:06:58 GMT'}]","2009-06-23","[['Kuhlen', 'Michael', ''], ['Diemand', 'Jürg', ''], ['Madau', 'Piero', '']]","2007-04-07"
"52",52,"0704.0944","Michael Kuhlen","(3)
  Max-Planck-Institut f\""ur Astrophysik","GLAST and Dark Matter Substructure in the Milky Way","4 pages, 2 figures, to be published in ""The Proceedings of the First
  International GLAST Symposium"", February 5-8, 2007, Stanford University, AIP,
  Eds. S. Ritz, P.F. Michelson, and C. Meegan","AIP Conf.Proc.921:135-138,2007","10.1063/1.2757285","","astro-ph","","  We discuss the possibility of GLAST detecting gamma-rays from the
annihilation of neutralino dark matter in the Galactic halo. We have used ""Via
Lactea"", currently the highest resolution simulation of Galactic cold dark
matter substructure, to quantify the contribution of subhalos to the
annihilation signal. We present a simulated allsky map of the expected
gamma-ray counts from dark matter annihilation, assuming standard values of
particle mass and cross section. In this case GLAST should be able to detect
the Galactic center and several individual subhalos.
","[{'version': 'v1', 'created': 'Sat, 7 Apr 2007 00:06:58 GMT'}]","2009-06-23","[['Kuhlen', 'Michael', ''], ['Diemand', 'Jürg', ''], ['Madau', 'Piero', '']]","2007-04-07"
"53",53,"0704.0944","Michael Kuhlen","Garching","GLAST and Dark Matter Substructure in the Milky Way","4 pages, 2 figures, to be published in ""The Proceedings of the First
  International GLAST Symposium"", February 5-8, 2007, Stanford University, AIP,
  Eds. S. Ritz, P.F. Michelson, and C. Meegan","AIP Conf.Proc.921:135-138,2007","10.1063/1.2757285","","astro-ph","","  We discuss the possibility of GLAST detecting gamma-rays from the
annihilation of neutralino dark matter in the Galactic halo. We have used ""Via
Lactea"", currently the highest resolution simulation of Galactic cold dark
matter substructure, to quantify the contribution of subhalos to the
annihilation signal. We present a simulated allsky map of the expected
gamma-ray counts from dark matter annihilation, assuming standard values of
particle mass and cross section. In this case GLAST should be able to detect
the Galactic center and several individual subhalos.
","[{'version': 'v1', 'created': 'Sat, 7 Apr 2007 00:06:58 GMT'}]","2009-06-23","[['Kuhlen', 'Michael', ''], ['Diemand', 'Jürg', ''], ['Madau', 'Piero', '']]","2007-04-07"
"54",54,"0704.0944","Michael Kuhlen","Germany)","GLAST and Dark Matter Substructure in the Milky Way","4 pages, 2 figures, to be published in ""The Proceedings of the First
  International GLAST Symposium"", February 5-8, 2007, Stanford University, AIP,
  Eds. S. Ritz, P.F. Michelson, and C. Meegan","AIP Conf.Proc.921:135-138,2007","10.1063/1.2757285","","astro-ph","","  We discuss the possibility of GLAST detecting gamma-rays from the
annihilation of neutralino dark matter in the Galactic halo. We have used ""Via
Lactea"", currently the highest resolution simulation of Galactic cold dark
matter substructure, to quantify the contribution of subhalos to the
annihilation signal. We present a simulated allsky map of the expected
gamma-ray counts from dark matter annihilation, assuming standard values of
particle mass and cross section. In this case GLAST should be able to detect
the Galactic center and several individual subhalos.
","[{'version': 'v1', 'created': 'Sat, 7 Apr 2007 00:06:58 GMT'}]","2009-06-23","[['Kuhlen', 'Michael', ''], ['Diemand', 'Jürg', ''], ['Madau', 'Piero', '']]","2007-04-07"
"55",55,"0704.0985","Mohd Abubakr","Mohd Abubakr","Architecture for Pseudo Acausal Evolvable Embedded Systems","4 pages, 2 figures. Submitted to SASO 2007","","","","cs.NE cs.AI","","  Advances in semiconductor technology are contributing to the increasing
complexity in the design of embedded systems. Architectures with novel
techniques such as evolvable nature and autonomous behavior have engrossed lot
of attention. This paper demonstrates conceptually evolvable embedded systems
can be characterized basing on acausal nature. It is noted that in acausal
systems, future input needs to be known, here we make a mechanism such that the
system predicts the future inputs and exhibits pseudo acausal nature. An
embedded system that uses theoretical framework of acausality is proposed. Our
method aims at a novel architecture that features the hardware evolability and
autonomous behavior alongside pseudo acausality. Various aspects of this
architecture are discussed in detail along with the limitations.
","[{'version': 'v1', 'created': 'Sat, 7 Apr 2007 13:40:49 GMT'}]","2007-05-23","[['Abubakr', 'Mohd', ''], ['Vinay', 'R. M.', '']]","2007-04-07"
"56",56,"0704.0985","Mohd Abubakr","R.M.Vinay","Architecture for Pseudo Acausal Evolvable Embedded Systems","4 pages, 2 figures. Submitted to SASO 2007","","","","cs.NE cs.AI","","  Advances in semiconductor technology are contributing to the increasing
complexity in the design of embedded systems. Architectures with novel
techniques such as evolvable nature and autonomous behavior have engrossed lot
of attention. This paper demonstrates conceptually evolvable embedded systems
can be characterized basing on acausal nature. It is noted that in acausal
systems, future input needs to be known, here we make a mechanism such that the
system predicts the future inputs and exhibits pseudo acausal nature. An
embedded system that uses theoretical framework of acausality is proposed. Our
method aims at a novel architecture that features the hardware evolability and
autonomous behavior alongside pseudo acausality. Various aspects of this
architecture are discussed in detail along with the limitations.
","[{'version': 'v1', 'created': 'Sat, 7 Apr 2007 13:40:49 GMT'}]","2007-05-23","[['Abubakr', 'Mohd', ''], ['Vinay', 'R. M.', '']]","2007-04-07"
"57",57,"0704.1028","Jianlin Cheng","Jianlin Cheng","A neural network approach to ordinal regression","8 pages","","","","cs.LG cs.AI cs.NE","","  Ordinal regression is an important type of learning, which has properties of
both classification and regression. Here we describe a simple and effective
approach to adapt a traditional neural network to learn ordinal categories. Our
approach is a generalization of the perceptron method for ordinal regression.
On several benchmark datasets, our method (NNRank) outperforms a neural network
classification method. Compared with the ordinal regression methods using
Gaussian processes and support vector machines, NNRank achieves comparable
performance. Moreover, NNRank has the advantages of traditional neural
networks: learning in both online and batch modes, handling very large training
datasets, and making rapid predictions. These features make NNRank a useful and
complementary tool for large-scale data processing tasks such as information
retrieval, web page ranking, collaborative filtering, and protein ranking in
Bioinformatics.
","[{'version': 'v1', 'created': 'Sun, 8 Apr 2007 17:36:00 GMT'}]","2007-05-23","[['Cheng', 'Jianlin', '']]","2007-04-08"
